CNES;mesmo_contrato
3980;1
4235;0
4790;1
5363;1
8028;1
8087;1
9296;1
9628;1
15369;1
19445;1
26417;1
73482;0
179817;1
220027;0
254460;1
265500;1
980838;1
986984;0
2023474;1
2024373;0
2024381;0
2025361;1
2025566;1
2027356;1
2031469;1
2031558;0
2032090;1
2032112;1
2032414;0
2032422;0
2034646;1
2034654;1
2035537;1
2035545;1
2035618;1
2037033;0
2038102;0
2038978;1
2038986;1
2038994;1
2039036;0
2039079;0
2039931;0
2039966;0
2043866;0
2043874;0
2043890;0
2043998;0
2044501;1
2046563;0
2046571;0
2046598;0
2047861;0
2051265;1
2051737;1
2051745;1
2053594;1
2053624;1
2053632;1
2054663;1
2055082;0
2058332;1
2059088;1
2059096;1
2059266;1
2059320;0
2062410;0
2066092;1
2066866;0
2067552;0
2068931;1
2069008;1
2069776;1
2073552;0
2075938;1
2077426;1
2077574;0
2077620;1
2077671;1
2078104;0
2078562;1
2079119;1
2079720;1
2079828;1
2080273;1
2080338;0
2080427;0
2080680;1
2081695;1
2082209;0
2082411;1
2082594;0
2082861;0
2083183;0
2083272;0
2083981;1
2084163;1
2087804;1
2088576;1
2090619;1
2091461;1
2091542;1
2091585;1
2115786;0
2146126;1
2152177;1
2152185;1
2152258;1
2152266;1
2152274;0
2152282;0
2152290;1
2152312;0
2152363;1
2152401;1
2152479;1
2152487;1
2152495;1
2152517;0
2152525;0
2152533;0
2152541;1
2152568;1
2152576;1
2152584;0
2152592;1
2152606;1
2152614;1
2152940;1
2152959;1
2152967;0
2153009;1
2153017;1
2168243;0
2189860;0
2189879;0
2190125;0
2200473;0
2218690;1
2218720;1
2218739;1
2233355;0
2257572;0
2266725;1
2266733;1
2266768;1
2266784;1
2266792;1
2266806;1
2266822;1
2266849;1
2266857;1
2266865;1
2266873;1
2266881;1
2266911;1
2266938;1
2266946;1
2269295;0
2269309;0
2269376;0
2269503;0
2269511;0
2269538;0
2269546;0
2269554;0
2269562;0
2269627;0
2269651;0
2269732;0
2269759;0
2269805;0
2269848;0
2269902;1
2269929;0
2269937;0
2270013;0
2270072;0
2270234;0
2270250;1
2270277;0
2270285;0
2270293;0
2270307;0
2270315;0
2270323;0
2270366;0
2270420;0
2270439;0
2270455;0
2270463;0
2270552;0
2270560;0
2270579;0
2270633;0
2270641;0
2273179;0
2273225;0
2273543;0
2273551;0
2273578;0
2273586;0
2273616;0
2273640;1
2277298;1
2277328;1
2280205;0
2280272;0
2280280;0
2280310;0
2280736;0
2280744;0
2280760;0
2280779;1
2280787;0
2280795;0
2288346;1
2288370;0
2291274;1
2292769;0
2292939;0
2292971;0
2295032;1
2295237;0
2295253;0
2296535;1
2296543;0
2296551;1
2296586;0
2298031;0
2298120;0
2309254;1
2338262;0
2338734;1
2339072;1
2339080;1
2339196;1
2340194;0
2361949;0
2382474;0
2428385;1
2428393;1
2428989;0
2430711;0
2437783;0
2454475;0
2457768;1
2460262;1
2464594;1
2482339;1
2493845;0
2506661;0
2520168;1
2529475;1
2534967;1
2551764;1
2560828;0
2589265;0
2594277;1
2602083;0
2621614;1
2646536;0
2651610;1
2653818;1
2673932;1
2678179;0
2691515;1
2696746;1
2696789;1
2696797;1
2696800;1
2696932;0
2697025;0
2697394;0
2697688;1
2702886;1
2702886;1
2705249;1
2708167;0
2708183;0
2708205;0
2708213;0
2708426;1
2708434;0
2711958;1
2712008;1
2712040;0
2716097;1
2726645;0
2746670;0
2746751;0
2746832;0
2749319;0
2750546;1
2755130;1
2778696;0
2785900;1
2786389;0
2786397;0
2786419;0
2790580;1
2790602;1
