cnpj;tipo;abertura;nome;fantasia;natureza_juridica;logradouro;numero;complemento;cep;bairro;municipio;uf;email;telefone;efr;situacao;data_situacao;motivo_situacao;situacao_especial;data_situacao_especial;capital_social
01.476.404/0001-19;MATRIZ;19/08/1996;INSTITUTO DE ATENCAO A SAUDE E EDUCACAO;;399-9 - Associação Privada;R MARANHAO;594;FUNDOS;26.210-000;CENTRO;NOVA IGUACU;RJ;;;;ATIVA;03/11/2005;;;;0.00
13.363.111/0001-04;MATRIZ;25/02/2011;ASSOCIACAO ASSISTENCIAL A SAUDE E EDUCACAO SAO CRISTOVAO - AASAESC;AASAESC;399-9 - Associação Privada;RUA GENERAL FRANCISCO GLICERIO;1833;SALA 08;08.674-003;CENTRO;SUZANO;SP;prestacaoaasaesc@gmail.com;(11) 4292-2234;;ATIVA;25/02/2011;;;;0.00
43.723.907/0001-91;MATRIZ;30/04/1968;ASSOCIACAO BENEFICENTE DE APIAI;HOSPITAL DR. ADHEMAR DE BARROS;399-9 - Associação Privada;RUA 1º DE MAIO;336;;18.320-003;CENTRO;APIAI;SP;contabilidade@abasaude.org;(15) 3552-1266;;ATIVA;03/11/2005;;;;0.00
02.812.043/0001-05;MATRIZ;26/10/1998;ASSOCIACAO BRASILEIRA DE ESPERANCA E VIDA - ABEVIDA;;399-9 - Associação Privada;ALAMEDA DAS MAGNOLIAS;269;QUADRA10 LOTE 09;74.482-320;SIT DE R DOS BANDEIRANTES;GOIANIA;GO;administracao@luzdavida.org.br;(62) 3247-2000;;ATIVA;26/10/1998;;;;0.00
01.476.404/0001-19;MATRIZ;19/08/1996;INSTITUTO DE ATENCAO A SAUDE E EDUCACAO;;399-9 - Associação Privada;R MARANHAO;594;FUNDOS;26.210-000;CENTRO;NOVA IGUACU;RJ;;;;ATIVA;03/11/2005;;;;0.00
51.232.221/0001-26;MATRIZ;18/05/1979;ASSOCIACAO COMUNITARIA MONTE AZUL;;399-9 - Associação Privada;R FRANCISCO XAVIER DE ABREU;483;;05.836-180;JARDIM MONTE AZUL;SAO PAULO;SP;monteazul@monteazul.org.br;(11) 5853-8080;;ATIVA;28/08/2004;;;;0.00
60.922.168/0001-86;MATRIZ;07/04/1970;ASSOCIACAO CONGREGACAO DE SANTA CATARINA;REDE SANTA CATARINA;399-9 - Associação Privada;AV PAULISTA;283;ANDAR 2 - 287;01.311-000;BELA VISTA;SAO PAULO;SP;acsc@acsc.org.br;(11) 5465-6222/ (11) 5465-6125;;ATIVA;13/11/2004;;;;0.00
57.571.275/0001-00;MATRIZ;07/03/1968;FUNDACAO DO ABC;FUABC - ORGANIZACAO SOCIAL DE SAUDE;127-9 - Fundação Pública de Direito Privado Municipal;AV LAURO GOMES;2000;;09.060-870;VILA SACADURA CABRAL;SANTO ANDRE;SP;contabilidade@fuabc.org.br;(11) 2666-5400/ (11) 2666-5432;MUNICÍPIO DE SAO BERNARDO DO CAMPO;ATIVA;03/06/1998;;;;0.00
11.344.038/0001-06;MATRIZ;05/11/2009;INSTITUTO NACIONAL DE TECNOLOGIA E SAUDE;;399-9 - Associação Privada;AV PROFESSOR MAGALHAES NETO;001856;EDIF TK TOWER SALA 806 A 816;41.810-012;PITUBA;SALVADOR;BA;fiscal@ints.org.br;(71) 3018-1212;;ATIVA;05/11/2009;;;;0.00
60.922.168/0048-40;FILIAL;22/12/2011;ASSOCIACAO CONGREGACAO DE SANTA CATARINA;HOSP DR BENICIO TAVARES PEREIRA - HOSP ESTADUAL CENTRAL;399-9 - Associação Privada;RUA SAO JOSE;76;;29.010-430;CENTRO;VITORIA;ES;acsc@acsc.org.br;(27) 3636-4801 / (27) 3636-4713;;ATIVA;22/12/2011;;;;0.00
55.401.178/0001-36;MATRIZ;30/01/1986;FUNDACAO INSTITUTO DE PESQUISA E ESTUDO DE DIAGNOSTICO POR IMAGEM - FIDI;FIDI;306-9 - Fundação Privada;AV PAULISTA;302;ANDAR 5;01.310-000;BELA VISTA;SAO PAULO;SP;juridico@fidi.org.br;(11) 5088-7900;;ATIVA;24/08/2002;;;;0.00
47.673.793/0004-16;FILIAL;19/01/2000;ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA;AFIP;399-9 - Associação Privada;RUA MARSELHESA;500;;04.020-060;VILA MARIANA;SAO PAULO;SP;carlos.oliveira@afip.com.br;(11) 2388-0888;;ATIVA;19/01/2000;;;;0.00
47.673.793/0004-16;FILIAL;19/01/2000;ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA;AFIP;399-9 - Associação Privada;RUA MARSELHESA;500;;04.020-060;VILA MARIANA;SAO PAULO;SP;carlos.oliveira@afip.com.br;(11) 2388-0888;;ATIVA;19/01/2000;;;;0.00
47.673.793/0004-16;FILIAL;19/01/2000;ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA;AFIP;399-9 - Associação Privada;RUA MARSELHESA;500;;04.020-060;VILA MARIANA;SAO PAULO;SP;carlos.oliveira@afip.com.br;(11) 2388-0888;;ATIVA;19/01/2000;;;;0.00
05.029.600/0001-04;FILIAL;06/05/2002;ASSOCIACAO DE GESTAO, INOVACAO E RESULTADOS EM SAUDE;CRER;399-9 - Associação Privada;AV VEREADOR JOSE MONTEIRO;1655;QD AREA LT AREA;74.653-230;SETOR NEGRAO DE LIMA;GOIANIA;GO;;(62) 2323-003;;ATIVA;06/05/2002;;;;0.00
14.512.229/0001-10;MATRIZ;24/08/2011;INSTITUTO ALPHA DE MEDICINA PARA SAUDE;INSTITUTO ALPHA;399-9 - Associação Privada;RUA AMADOR BUENO;333;CONJ 1816;11.013-153;CENTRO;SANTOS;SP;finanosasco@alphainstituto.com.br;(13) 3394-5103;;ATIVA;24/08/2011;;;;0.00
42.498.717/0001-55;MATRIZ;30/07/1975;SECRETARIA DE ESTADO DE SAUDE - SES;RJ - GABINETE DO SECRETARIO - SES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;R BARAO DE ITAPAGIPE;225;;20.261-005;RIO COMPRIDO;RIO DE JANEIRO;RJ;;(21) 3385-9152;RJ;ATIVA;27/02/1999;;;;0.00
42.498.717/0100-37;FILIAL;21/10/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - REALENGO;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RUA MARECHAL JOAQUIM INACIO;S/N;;21.735-320;REALENGO;RIO DE JANEIRO;RJ;;(21) 2299-2577;RIO DE JANEIRO;ATIVA;21/10/2008;;;;0.00
42.498.717/0097-05;FILIAL;04/09/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - MARECHAL HERMES;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RUA XAVIER CURADO;S/N;;21.610-330;MARECHAL HERMES;RIO DE JANEIRO;RJ;;(21) 2299-2577;RIO DE JANEIRO;ATIVA;04/09/2008;;;;0.00
42.498.717/0086-44;FILIAL;27/02/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - BANGU;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;RUA FIGUEIREDO CAMARGO;S/N;;21.870-210;BANGU;RIO DE JANEIRO;RJ;;(21) 2419-5657 / (21) 2419-5805 / (21) 2419-5948;RIO DE JANEIRO;ATIVA;27/02/2008;;;;0.00
42.498.717/0091-01;FILIAL;14/07/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - RICARDO DE ALBUQUERQUE;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ESTRADA MARECHAL ALENCASTRO;S/N;;21.625-000;RICARDO DE ALBUQUERQUE;RIO DE JANEIRO;RJ;;(21) 2299-2577;RIO DE JANEIRO;ATIVA;14/07/2008;;;;0.00
02.954.994/0003-72;FILIAL;16/03/2020;ANAESP - ASSOCIACAO NACIONAL DE APOIO AO ENSINO, SAUDE E POLITICAS PUBLICAS DE DESENVOLVIMENTO;MED HOSPITAL;399-9 - Associação Privada;RUA KONRAD ADENAUER;26;;29.304-501;SUMARE;CACHOEIRO DE ITAPEMIRIM;ES;medhospital@anaesp.org.br;(28) 3344-1370;;ATIVA;16/03/2020;;;;0.00
43.535.210/0001-97;MATRIZ;31/12/1965;IRMANDADE DA SANTA CASA DE ANDRADINA;SANTA CASA;399-9 - Associação Privada;AVENIDA GUANABARA;730;;16.901-000;CENTRO;ANDRADINA;SP;;;;ATIVA;28/07/1998;;INTERVENCAO;23/05/2023;0.00
28.064.274/0001-63;MATRIZ;02/06/2017;APAS-ASSOCIACAO DE PROTECAO E AMPARO A SAUDE;APAS;399-9 - Associação Privada;RUA CORONEL ALMERINDO REHEM;126;EMPRESARIAL COSTA ANDRADE SALA 1101 SALA 1102;41.820-768;CAMINHO DAS ARVORES;SALVADOR;BA;contato@apasgestao.org.br;(71) 9981-1089;;ATIVA;02/06/2017;;;;0.00
09.055.340/0002-75;FILIAL;09/01/2019;ASSOCIACAO DE SAUDE, ESPORTE, LAZER E CULTURA - ASELC;HOSPITAL REGIONAL PUBLICO DO ARAGUAIA - HRPA;399-9 - Associação Privada;AV BRASIL;4244;;68.552-735;PARK DOS BURITIS;REDENCAO;PA;financeiro.hrpa@aselc.org.br;(94) 3424-9500;;ATIVA;09/01/2019;;;;0.00
68.311.216/0001-01;MATRIZ;22/10/1992;ASSOCIACAO SAUDE DA FAMILIA;;399-9 - Associação Privada;PC MARECHAL CORDEIRO DE FARIAS;45/65;;01.244-050;HIGIENOPOLIS;SAO PAULO;SP;contabilidade@saudedafamilia.org;(11) 3154-7070/ (11) 3529-1550;;ATIVA;03/11/2005;;;;0.00
60.742.616/0001-60;MATRIZ;24/08/1966;CASA DE SAUDE SANTA MARCELINA;HOSPITAL SANTA MARCELINA;399-9 - Associação Privada;R SANTA MARCELINA;177;;08.270-070;ITAQUERA;SAO PAULO;SP;;;;ATIVA;25/12/1999;;;;0.00
44.364.826/0001-05;MATRIZ;30/08/1966;SANTA CASA DE MISERICORDIA DE ASSIS;SANTA CASA;399-9 - Associação Privada;PC DR SYMPHONIO A SANTOS;166;;19.807-155;CENTRO;ASSIS;SP;;;;ATIVA;03/11/2005;;;;0.00
50.351.626/0001-10;MATRIZ;26/01/1979;BENEFICENCIA HOSPITALAR DE CESARIO LANGE;BENEFICENCIA HOSPITALAR DE CESARIO LANGE;399-9 - Associação Privada;AVENIDA SAO PAULO;340;;18.285-000;VILA BRASIL;CESARIO LANGE;SP;;;;ATIVA;24/09/2005;;;;0.00
50.795.566/0001-25;MATRIZ;11/12/1979;BANCO DE OLHOS DE SOROCABA;;399-9 - Associação Privada;NABECK SHIROMA;210;SALA 1 TERREO;18.031-060;JD. EMILIA;SOROCABA;SP;bruno.garcia@bos.org.br;(015) 2129-000;;ATIVA;16/11/2002;;;;0.00
