"cnes";"nome_estabelecimento";"lat";"lon"
"9128743";"SAMU 192 TAUBATE BASE PIRACANGAGUA AVANCADA";"-23.0671013";"-45.6101584"
"9133232";"SAMU 192 TAUBATE BASE REDENCAO DA SERRA";"-23.2620919";"-45.5322403"
"6872174";"CENTRO DE MEDICINA ESPECIALIZADA CEMESP";"-2.5427145";"-44.2799493"
"2726645";"HOSPITAL REGIONAL DR CARLOS MACIEIRA";NA;NA
"2663651";"CENTRO DE SAUDE ROCADO";"-27.5917682";"-48.6263585"
"6600344";"PRONTO ATENDIMENTO LUIZ GONZAGA ROCHA";NA;NA
"5968607";"FARMACIA MEDEX DRS XVI SOROCABA";"-23.4720072";"-47.4222594"
"5402379";"Centro de Especialidades Odontológicas e Laboratório de Prótese";NA;NA
"3004384";"USF CESAR NETO BOTUCATU";"-22.9407081";"-48.296699"
"3403939";"ESF PARQUE DOS ESTADOS II";NA;NA
"2688387";"ESF AGUA CLARA I";NA;NA
"2688093";"ESF TORO II";NA;NA
"6905927";"CENTRO DE ESPECIALIDADES MEDICAS DO VINHAIS";"-2.5140499";"-44.2550086"
"2604434";"HOSPITAL REGIONAL DE RONDONÓPOLIS";"-16.4582134";"-54.6434265"
"2037033";"UBS São Benedito";"-23.3303673";"-46.7348119"
"2688069";"ESF PLANEJADA II";"-22.9116961";"-46.5518873"
"2055082";"CENTRO DE SAÚDE II (POLICLÍNICA)";NA;NA
"2688301";"CENTRO DE SAUDE I DR LOURENCO QUILICCI";NA;NA
"2707632";"HOSPITAL MUNICIPAL GETULIO VARGAS";"-29.8235569";"-51.1659989"
"6483089";"HOSPITAL DE URGENCIA E EMERGENCIA DE PRESIDENTE DUTRA";"-5.2919738";"-44.4930485"
"7879679";"UPA 24 HORAS VIAMAO";"-30.0827721";"-51.0340956"
"2663783";"CENTRO DE SAUDE AREIAS";NA;NA
"7829531";"CENTRO DE SAUDE POTECAS";"-27.5825388";"-48.6397985"
"2688395";"ESF CASA DE JESUS";"-22.9255222";"-46.5324811"
"9398295";"ESF SAO FRANCISCO DE ASSIS";"-22.9198755";"-46.5306113"
"2663813";"CENTRO DE SAUDE FORQUILHINHAS";"-27.5977538";"-48.6398513"
"9811176";"CENTRAL DE AMBULANCIAS";"19.6508266";"-99.1993022"
"9069151";"LABORATÓRIO DE ANÁLISES CLÍNICAS";NA;NA
"2082594";"COMPLEXO HOSPITALAR MARCIA E MARIA BRAIDO";"-23.6226682";"-46.5633697"
"6957501";"HOSPITAL REGIONAL DE GRAJAU";NA;NA
"2663589";"CENTRO DE SAUDE LUAR";"-27.5423498";"-48.6289352"
"2663805";"CENTRO DE SAUDE PICADAS DO SUL";"-27.6094325";"-48.6451536"
"2268922";"HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ";"-22.7375781";"-42.8491266"
"6851304";"UPA VINHAIS";"-2.5133436";"-44.2527439"
"6990193";"USF COHAB IV BOTUCATU";"-22.8804269";"-48.4273595"
"6568734";"UPA ITAQUI BACANGA";"-2.5498317";"-44.3070147"
"2786419";"UBS/ESF JARDIM VISTA ALEGRE/PAS JARDIM MIMÁS";"-23.4521719";"-46.6858844"
"6868339";"USF SANTA MARIA BOTUCATU";"-22.9393576";"-48.4419755"
"2159783";"LABORATORIO ELION";"-20.1405008";"-44.8849588"
"2530236";"HOSPITAL REGIONAL ADELIA MATOS FONSECA";"-3.3980225";"-44.361957"
"2663759";"CENTRO DE SAUDE BARREIROS";"43.5414873";"-7.2333869"
"3344614";"HOSPITAL GERAL DA VILA LUIZAO";"-2.4874126";"-44.2146179"
"9817301";"CAPS I DE ARACARIGUAMA";"-23.437744";"-47.0638699"
"3003329";"USF JARDIM AEROPORTO BOTUCATU";"-22.9310225";"-48.4549913"
"2190125";"UNIDADE DE PRONTO ATENDIMENTO PETROLANDIA UPA";"-8.9816221";"-38.2187159"
"6347762";"ESF VILA MOTTA";"-22.9477473";"-46.5508854"
"7013620";"HOSPITAL REGIONAL DE BARREIRINHAS";"-2.7717826";"-42.8390334"
"2778793";"CENTRO DE SAUDE FORQUILHAS";"-27.5787887";"-48.6714529"
"2053446";"AMBULATORIO DE ESPECIALIDADES";NA;NA
"6628842";"PAM POSTO DE ATENDIMENTO MEDICO BARRETO";NA;NA
"7044593";"PRONTO ATENDIMENTO DE ARACARIGUAMA";"-23.4380854";"-47.0611137"
"3003299";"USF JARDIM IOLANDA BOTUCATU";"-22.8519022";"-48.4489761"
"7721668";"NUVEPA NUCLEO DE VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL";NA;NA
