codigo_municipio;codigo_municipio_saude;municipio
1100015;110001;Alta Floresta D'Oeste
1100379;110037;Alto Alegre dos Parecis
1100403;110040;Alto Paraíso
1100346;110034;Alvorada D'Oeste
1100023;110002;Ariquemes
1100452;110045;Buritis
1100031;110003;Cabixi
1100601;110060;Cacaulândia
1100049;110004;Cacoal
1100700;110070;Campo Novo de Rondônia
1100809;110080;Candeias do Jamari
1100908;110090;Castanheiras
1100056;110005;Cerejeiras
1100924;110092;Chupinguaia
1100064;110006;Colorado do Oeste
1100072;110007;Corumbiara
1100080;110008;Costa Marques
1100940;110094;Cujubim
1100098;110009;Espigão D'Oeste
1101005;110100;Governador Jorge Teixeira
1100106;110010;Guajará-Mirim
1101104;110110;Itapuã do Oeste
1100114;110011;Jaru
1100122;110012;Ji-Paraná
1100130;110013;Machadinho D'Oeste
1101203;110120;Ministro Andreazza
1101302;110130;Mirante da Serra
1101401;110140;Monte Negro
1100148;110014;Nova Brasilândia D'Oeste
1100338;110033;Nova Mamoré
1101435;110143;Nova União
1100502;110050;Novo Horizonte do Oeste
1100155;110015;Ouro Preto do Oeste
1101450;110145;Parecis
1100189;110018;Pimenta Bueno
1101468;110146;Pimenteiras do Oeste
1100205;110020;Porto Velho
1100254;110025;Presidente Médici
1101476;110147;Primavera de Rondônia
1100262;110026;Rio Crespo
1100288;110028;Rolim de Moura
1100296;110029;Santa Luzia D'Oeste
1101484;110148;São Felipe D'Oeste
1101492;110149;São Francisco do Guaporé
1100320;110032;São Miguel do Guaporé
1101500;110150;Seringueiras
1101559;110155;Teixeirópolis
1101609;110160;Theobroma
1101708;110170;Urupá
1101757;110175;Vale do Anari
1101807;110180;Vale do Paraíso
1100304;110030;Vilhena
1200013;120001;Acrelândia
1200054;120005;Assis Brasil
1200104;120010;Brasiléia
1200138;120013;Bujari
1200179;120017;Capixaba
1200203;120020;Cruzeiro do Sul
1200252;120025;Epitaciolândia
1200302;120030;Feijó
1200328;120032;Jordão
1200336;120033;Mâncio Lima
1200344;120034;Manoel Urbano
1200351;120035;Marechal Thaumaturgo
1200385;120038;Plácido de Castro
1200807;120080;Porto Acre
1200393;120039;Porto Walter
1200401;120040;Rio Branco
1200427;120042;Rodrigues Alves
1200435;120043;Santa Rosa do Purus
1200500;120050;Sena Madureira
1200450;120045;Senador Guiomard
1200609;120060;Tarauacá
1200708;120070;Xapuri
1300029;130002;Alvarães
1300060;130006;Amaturá
1300086;130008;Anamã
1300102;130010;Anori
1300144;130014;Apuí
1300201;130020;Atalaia do Norte
1300300;130030;Autazes
1300409;130040;Barcelos
1300508;130050;Barreirinha
1300607;130060;Benjamin Constant
1300631;130063;Beruri
1300680;130068;Boa Vista do Ramos
1300706;130070;Boca do Acre
1300805;130080;Borba
1300839;130083;Caapiranga
1300904;130090;Canutama
1301001;130100;Carauari
1301100;130110;Careiro
1301159;130115;Careiro da Várzea
1301209;130120;Coari
1301308;130130;Codajás
1301407;130140;Eirunepé
1301506;130150;Envira
1301605;130160;Fonte Boa
1301654;130165;Guajará
1301704;130170;Humaitá
1301803;130180;Ipixuna
1301852;130185;Iranduba
1301902;130190;Itacoatiara
1301951;130195;Itamarati
1302009;130200;Itapiranga
1302108;130210;Japurá
1302207;130220;Juruá
1302306;130230;Jutaí
1302405;130240;Lábrea
1302504;130250;Manacapuru
1302553;130255;Manaquiri
1302603;130260;Manaus
