"cnes";"tipo_hospital"
"5336171";"1"
"2009242";"1"
"2720043";"1"
"5616298";"1"
"2020068";"2"
"2020653";"1"
"2906635";"2"
"9550291";"1"
"7564546";"1"
"2487438";"1"
"2301687";"1"
"3972925";"1"
"2388057";"1"
"2597594";"1"
"2388928";"1"
"2602075";"1"
"2388685";"1"
"2801574";"1"
"2401231";"1"
"2799758";"1"
"6602533";"2"
"2412381";"1"
"2804034";"1"
"9441743";"1"
"2602121";"1"
"9388133";"1"
"4026896";"1"
"3245500";"1"
"2602083";"1"
"2470748";"1"
"2400693";"1"
"4028155";"1"
"0607126";"1"
"2802023";"1"
"3289826";"1"
"4028511";"1"
"6919162";"1"
"2802090";"1"
"2799790";"1"
"0003778";"1"
"0003859";"1"
"0003921";"2"
"0003980";"1"
"0004065";"2"
"0004073";"1"
"0004294";"1"
"0004987";"1"
"0005428";"2"
"0106526";"1"
"0108375";"1"
"2493845";"2"
"2802104";"1"
"6595197";"1"
"9443665";"1"
"2603012";"1"
"6414702";"1"
"2520168";"1"
"9383298";"1"
"2770512";"1"
"2532387";"1"
"2402076";"1"
"2402564";"2"
"2372967";"1"
"2562316";"1"
"2328070";"1"
"2481073";"1"
"2561352";"1"
"2611295";"1"
"0086673";"1"
"2482339";"1"
"2529475";"2"
"2785900";"1"
"2562227";"1"
"2333740";"1"
"5018110";"1"
"2327961";"1"
"2562499";"1"
"6779522";"1"
"9672427";"1"
"2478994";"1"
"2560828";"1"
"2333880";"1"
"2695839";"1"
"2499037";"1"
"2527065";"1"
"2562138";"1"
"2564769";"1"
"2328380";"1"
"7061021";"1"
"2479419";"1"
"2665190";"1"
"2611481";"1"
"6848710";"1"
"2562146";"1"
"2479893";"1"
"0010456";"1"
"5717515";"1"
"6876617";"2"
"2485397";"1"
"6823351";"1"
"2446782";"1"
"9922970";"1"
"2485966";"2"
"2486199";"1"
"7257406";"1"
"2678179";"1"
"6559131";"1"
"7621442";"1"
"2442728";"1"
"0616036";"1"
"3771962";"1"
"5419662";"1"
"7772173";"2"
"9680977";"1"
"2534967";"1"
"0024074";"2"
"0965324";"2"
"2338262";"1"
"2338564";"2"
"2338734";"1"
"2339080";"2"
"2339196";"1"
"2506661";"1"
"2506858";"2"
"2653818";"2"
"2673932";"2"
"7743068";"1"
"9138625";"1"
"2589265";"1"
"2361949";"1"
"2535556";"1"
"2340194";"1"
"2437783";"1"
"2442477";"1"
"6665322";"1"
"2382474";"1"
"2382431";"1"
"5095808";"1"
"0547484";"1"
"2463016";"1"
"2964465";"1"
"0664219";"1"
"2460262";"1"
"9336508";"1"
"7013620";"1"
"2453665";"2"
