"municipio";"ubs";"upa";"caps";"hospital";"outros"
"120001";6;0;1;0;9
"120005";3;0;0;0;8
"120010";9;0;1;1;15
"120013";5;0;0;0;5
"120017";5;0;1;0;7
"120020";36;1;2;4;93
"120025";8;0;1;0;7
"120030";8;0;0;1;11
"120032";3;0;0;0;7
"120033";11;0;1;1;12
"120034";3;0;0;0;8
"120035";5;0;1;0;10
"120038";8;0;1;1;11
"120039";5;0;0;0;8
"120040";66;4;2;12;778
"120042";7;0;0;0;14
"120043";3;0;0;0;8
"120045";9;0;0;1;8
"120050";17;0;1;1;24
"120060";11;0;0;1;25
"120070";8;0;1;1;11
"120080";5;0;0;0;8
"270010";11;0;1;0;8
"270020";8;0;1;0;5
"270030";42;1;2;8;338
"270040";17;0;1;1;17
"270050";6;1;0;0;6
"270060";4;0;0;0;6
"270070";7;0;1;0;12
"270080";4;0;0;0;2
"270090";6;0;0;0;3
"270100";11;0;1;1;12
"270110";5;0;0;0;7
"270120";8;0;0;0;5
"270130";8;0;1;1;4
"270135";3;0;0;0;2
"270140";14;0;1;1;13
"270150";7;0;0;0;2
"270160";8;0;1;0;5
"270170";8;0;1;1;8
"270180";5;0;0;0;3
"270190";5;0;0;0;3
"270200";10;0;0;0;7
"270210";8;0;1;0;11
"270220";3;0;0;0;3
"270230";20;1;1;3;23
"270235";12;0;1;0;6
"270240";29;1;1;1;33
"270250";5;0;0;0;4
"270255";12;0;1;0;3
"270260";11;0;1;0;7
"270270";2;0;0;0;1
"270280";5;0;0;0;5
"270290";15;0;1;0;12
"270300";6;1;1;0;3
"270310";11;0;1;0;9
"270320";14;0;1;0;7
"270330";5;0;1;0;7
"270340";6;0;0;0;5
"270350";3;0;0;0;1
"270360";4;0;0;0;3
"270370";3;0;0;0;4
"270375";7;1;0;0;4
"270380";8;0;1;1;6
"270390";3;0;0;0;2
"270400";24;0;1;1;8
"270410";14;0;1;0;6
"270420";20;0;1;0;7
"270430";83;7;7;39;1641
"270440";7;0;1;0;5
"270450";10;1;1;0;12
"270460";9;0;0;0;4
"270470";19;2;1;0;20
"270480";6;0;0;0;11
"270490";2;0;0;0;2
"270500";6;0;1;0;6
"270510";10;0;1;1;8
"270520";6;0;1;0;5
"270530";4;0;0;0;2
"270540";6;0;0;0;5
"270550";11;0;1;1;4
"270560";5;0;0;0;8
"270570";8;0;1;0;8
"270580";2;0;0;0;3
"270590";6;0;0;0;2
"270600";5;0;0;0;6
"270610";6;0;1;0;3
"270620";3;0;0;0;3
"270630";23;1;2;1;70
"270640";10;0;1;0;13
"270642";11;0;0;0;6
"270644";4;1;0;0;10
"270650";7;0;1;0;6
"270660";4;0;0;0;3
"270670";20;1;1;2;75
"270680";9;0;1;0;5
"270690";13;1;1;1;7
"270700";2;0;0;0;3
"270710";6;1;1;1;24
"270720";11;0;0;0;5
"270730";11;0;1;2;11
"270740";8;0;1;0;4
"270750";8;0;1;0;8
"270760";8;0;1;1;5
"270770";24;0;1;1;25
"270780";4;0;0;0;2
"270790";6;0;0;0;2
"270800";17;1;2;1;44
"270810";5;0;0;0;6
"270820";8;0;0;1;2
"270830";12;0;1;0;7
"270840";14;0;1;1;6
"270850";14;0;1;1;10
"270860";13;1;2;1;37
"270870";4;0;0;0;2
"270880";28;0;1;0;15
"270890";8;0;1;0;6
"270895";5;0;0;0;4
"270900";3;0;0;0;3
"270910";14;0;1;0;11
"270915";28;0;1;1;16
"270920";12;0;1;0;5
"270930";19;0;2;2;30
"270940";10;1;1;1;15
"160005";7;0;0;1;4
"160010";9;0;0;1;5
"160015";10;0;0;1;13
"160020";5;0;0;1;3
"160021";5;0;0;0;3
"160023";6;0;0;1;7
"160025";11;0;0;0;5
"160027";14;1;1;1;13
"160030";54;4;4;9;557
"160040";19;0;1;1;10
"160050";11;0;1;1;21
"160053";12;0;1;1;10
"160055";5;0;0;0;3
"160060";19;0;2;2;68
"160070";17;0;0;1;8
"160080";8;0;0;1;3
"130002";6;0;0;1;7
"130006";3;0;0;1;8
"130008";6;0;0;1;9
"130010";5;0;0;1;3
"130014";8;0;1;1;5
"130020";8;0;0;1;37
"130030";13;0;1;1;10
"130040";7;0;0;1;25
"130050";12;0;0;1;11
"130060";5;0;0;1;18
"130063";3;0;0;1;4
"130068";5;0;0;1;5
"130070";5;0;0;1;14
"130080";9;0;1;1;7
"130083";4;0;0;1;4
"130090";2;0;0;1;2
"130100";8;0;0;1;9
"130110";14;0;1;1;9
"130115";16;0;1;1;2
"130120";15;0;1;1;23
"130130";8;0;1;1;6
"130140";4;0;1;1;11
"130150";3;0;0;1;4
"130160";4;0;0;1;7
"130165";5;0;1;1;6
"130170";13;0;1;1;48
"130180";9;0;0;1;6
"130185";18;0;1;1;14
"130190";16;1;1;1;42
"130195";2;0;0;1;6
"130200";3;0;0;1;6
"130210";4;0;0;1;5
"130220";2;0;0;0;5
"130230";3;0;0;1;9
"130240";8;0;1;1;31
"130250";21;0;2;1;21
"130255";3;0;1;1;7
"130260";221;13;6;40;1401
"130270";12;0;1;1;15
"130280";5;0;0;1;6
"130290";18;0;1;1;18
"130300";11;0;0;1;9
"130310";10;0;1;1;15
"130320";5;0;0;1;1
"130330";6;0;1;1;5
"130340";16;1;2;2;51
"130350";4;0;0;1;5
"130353";22;0;1;1;12
"130356";16;0;1;1;11
"130360";4;0;1;1;19
"130370";7;0;0;2;13
"130380";6;0;1;1;31
"130390";6;0;1;1;13
"130395";4;0;0;1;3
"130400";5;0;0;1;4
"130406";8;0;0;3;29
"130410";6;0;1;1;8
"130420";11;0;1;2;33
"130423";5;0;0;1;10
"130426";3;0;0;0;4
"130430";8;0;0;1;5
"130440";6;0;0;2;7
"290010";5;0;1;1;6
"290020";8;0;0;1;11
"290030";7;0;0;0;4
"290035";8;0;0;0;5
"290040";10;0;1;1;4
"290050";7;0;0;1;14
"290060";2;1;0;0;4
"290070";37;0;1;5;254
"290080";10;0;1;1;12
"290090";3;0;0;0;4
"290100";12;0;1;1;42
"290110";6;0;1;1;11
"290115";10;0;1;1;4
"290120";9;0;1;1;7
"290130";5;0;1;1;8
"290135";7;0;1;0;13
"290140";5;0;0;1;10
"290150";11;0;0;1;3
"290160";6;0;0;2;10
"290170";5;1;0;0;1
"290180";6;0;0;0;5
"290190";7;0;0;0;6
"290195";5;0;0;0;5
"290200";6;0;1;1;16
"290205";4;0;0;0;9
"290210";25;1;1;1;23
"290220";5;0;0;0;7
"290225";6;0;0;0;5
"290230";4;0;0;0;6
"290240";7;0;0;1;6
"290250";6;0;0;1;5
"290260";10;0;1;1;12
"290265";6;1;0;0;4
"290270";20;0;1;2;12
"290280";9;0;1;1;20
"290290";11;0;1;1;23
"290300";15;0;0;1;9
"290310";3;0;0;0;8
"290320";38;1;2;9;229
"290323";9;0;1;1;5
"290327";16;0;1;1;16
"290330";4;0;0;1;6
"290340";10;0;1;1;21
"290350";6;0;1;1;8
"290360";12;0;1;1;4
"290370";8;0;0;0;4
