cnpj;tipo;abertura;nome;fantasia;natureza_juridica;logradouro;numero;complemento;cep;bairro;municipio;uf;email;telefone;efr;situacao;data_situacao;motivo_situacao;situacao_especial;data_situacao_especial;capital_social
20556657000147;MATRIZ;01/07/2014;ASSOCIACAO AMIGOS EM DEFESA DA VIDA;ADEV;399-9 - Associação Privada;ARAGUAIA;2044;COND CEA BLOCO 1 SALA 1006 ANEXO 10;06455000;ALPHAVILLE INDUSTRIAL;BARUERI;SP;;1199999999;;ATIVA;01/07/2014;;;;0
56322696001107;FILIAL;08/05/2019;ASSOCIACAO BENEFICENTE CISNE;INSTITUTO CISNE DE ENSINO E PESQUISA - ICEPES;399-9 - Associação Privada;SEBASTIAO DAVINO DOS REIS;786;;06414007;JARDIM TUPANCI;BARUERI;SP;;1141697937;;ATIVA;08/05/2019;;;;0
95422358000976;FILIAL;04/04/2023;HOSPITAL ANA NERY SANTA CRUZ DO SUL;HOSPITAL REGIONAL DO VALE DO RIO PARDO;399-9 - Associação Privada;CORONEL PEREIRA REGO;30;;96640000;SAO JORGE;RIO PARDO;RS;;5121064409;;ATIVA;04/04/2023;;;;0
57571275003380;FILIAL;15/03/2021;FUNDACAO DO ABC;AMBULATORIO MEDICO DE ESPECIALIDADES - AME SANTOS;127-9 - Fundação Pública de Direito Privado Municipal;ALEXANDRE MARTINS;70;;11025201;APARECIDA;SANTOS;SP;;1126665400;SAO BERNARDO DO CAMPO - SP;ATIVA;15/03/2021;;;;0
66518267002801;FILIAL;17/12/2020;CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM;CENTRO DE MEDICINA DE REAB. LUCY MONTORO - SANTOS;399-9 - Associação Privada;ALEXANDRE MARTINS;72;;11025200;APARECIDA;SANTOS;SP;;1134691818;;ATIVA;17/12/2020;;;;0
47969134001150;FILIAL;21/03/2023;FUNDACAO SANTA CASA DE MISERICORDIA DE FRANCA;AMBULATORIO MEDICO DE ESPECIALIDADES (AME SAO CARLOS);306-9 - Fundação Privada;SALLUM;1587;LOTE LOC 69 Q 43 L 08;13574040;VILA PRADO;SAO CARLOS;SP;;1637114196;;ATIVA;21/03/2023;;;;0
53221255002356;FILIAL;07/06/2005;ASSOCIACAO LAR SAO FRANCISCO DE ASSIS NA PROVIDENCIA DE DEUS;AMBULATORIO MEDICO DE ESPECIALIDADES DE S.J.DO R.P. AME;399-9 - Associação Privada;ANTONIO FUSCALDO;S/N;;15061260;JARDIM FUSCALDO;SAO JOSE DO RIO PRETO;SP;;1732839070;;BAIXADA;26/05/2025;;;;0
48211585003300;FILIAL;27/02/2023;SOCIEDADE BRASILEIRA CAMINHO DE DAMASCO;POLO DE ATENCAO INTENSIVA EM SAUDE MENTAL DA ZONA NORTE;399-9 - Associação Privada;VOLUNTARIOS DA PATRIA;4301;BLOCO PSIQUIATRICO B;02401400;SANTANA;SAO PAULO;SP;;1155492292;;ATIVA;27/02/2023;;;;0
57571275001921;FILIAL;11/02/2015;FUNDACAO DO ABC;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO;127-9 - Fundação Pública de Direito Privado Municipal;DOM JOSE MAURICIO;15;;02028000;CARANDIRU;SAO PAULO;SP;;1126665400;SAO BERNARDO DO CAMPO - SP;ATIVA;11/02/2015;;;;0
48211585003483;FILIAL;27/02/2023;SOCIEDADE BRASILEIRA CAMINHO DE DAMASCO;AME CRI ZONA NORTE;399-9 - Associação Privada;VOLUNTARIOS DA PATRIA;4301;;02401400;SANTANA;SAO PAULO;SP;;1150492292;;ATIVA;27/02/2023;;;;0
56322696001018;FILIAL;13/06/2019;ASSOCIACAO BENEFICENTE CISNE;INSTITUTO CISNE DE ENSINO E PESQUISA - ICEPES;399-9 - Associação Privada;RUBENS VENTURINI;140;;17132308;JARDIM NILCE;AGUDOS;SP;;1141697937;;ATIVA;13/06/2019;;;;0
17508792000102;MATRIZ;08/01/2013;AMIS- ASSOCIACAO MISSAO INTEGRAL SEMEAR DE GESTAO EM SAUDE;AMIS;399-9 - Associação Privada;BARUEL;544;SALA 111;08675000;VILA COSTA;SUZANO;SP;;1141220554;;ATIVA;25/05/2019;;;;0
42498717008724;;;SEM NOME REGISTRADO;;;;;;;;;;;;;;;;;;
53221225000140;MATRIZ;;ASSOCIAÇÃO FUNDO DE INCENTIVO À PSICOFARMACOLOGIA - AFIP;;;;;;;;;;;;;;;;;;
31627025000144;MATRIZ;;FUNDAÇÃO ESTATAL REGIONAL DE SAÚDE E DESENVOLVIMENTO SOCIAL DA BACIA DO JUQUERY;;;;;;;;;;;;;;;;;;
10635117000103;MATRIZ;29/01/2009;INSTITUTO GNOSIS;;399-9 - Associação Privada;DAS AMERICAS;03443; BLC 2 SAL 201 A 205;22631003;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;;2121478191;;ATIVA;29/01/2009;;;;0
60922168001158;FILIAL;07/04/1970;ASSOCIACAO CONGREGACAO DE SANTA CATARINA;HOSPITAL MADRE REGINA PROTMANN;399-9 - Associação Privada;DAS ACACIAS;417;;29650000;JARDIM DA MONTANHA;SANTA TERESA;ES;;0272591113;;ATIVA;09/07/2005;;;;0
61617908000133;MATRIZ;05/09/1963;CONGREGACAO DAS IRMAS HOSPITALEIRAS DO SAGRADO CORACAO DE JESUS;;399-9 - Associação Privada;DA RIVIERA;4782;;04916000;SANTO AMARO;SAO PAULO;SP;;01155176100;;ATIVA;28/07/1998;;;;0
27532522000190;MATRIZ;13/05/1975;INSTITUTO DE ASSISTENCIA DOS SERV DO EST R DE JANEIRO;GABINETE DO PRESIDENTE;111-2 - Autarquia Estadual ou do Distrito Federal;JACEGUAI;0000;;20550150;MARACANA;RIO DE JANEIRO;RJ;;2198425942;RIO DE JANEIRO;ATIVA;07/07/2022;;;;0
42498717009535;FILIAL;22/09/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - JACAREPAGUA;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ANDRE ROCHA;20;;22730522;TAQUARA - JACAREPAGUA;RIO DE JANEIRO;RJ;;2122992577;RIO DE JANEIRO;ATIVA;22/09/2008;;;;0
42498717009020;FILIAL;02/07/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - DUQUE DE CAXIAS;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;JOAQUIM PECANHA;1532;;25025095;PARQUE LAFAEITE;DUQUE DE CAXIAS;RJ;;2122992577;RIO DE JANEIRO;ATIVA;02/07/2008;;;;0
42498717009292;FILIAL;08/08/2008;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - BOTAFOGO;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;SAO CLEMENTE;S/N;;22260000;BOTAFOGO;RIO DE JANEIRO;RJ;;2122992577;RIO DE JANEIRO;ATIVA;08/08/2008;;;;0
42498717011351;FILIAL;09/09/2011;SECRETARIA DE ESTADO DE SAUDE - SES;UPA 24 HORAS - COPACABANA;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;SIQUEIRA CAMPOS;129;;22031071;COPACABANA;RIO DE JANEIRO;RJ;;2123333705;RIO DE JANEIRO;ATIVA;09/09/2011;;;;0
67779145000190;MATRIZ;;IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE SÃO PAULO;;;;;;;;;;;;;;;;;;
61669567002640;FILIAL;;ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA - SPDM;;;;;;;;;;;;;;;;;;
18972378000112;MATRIZ;23/09/2013;INSTITUTO BRASILEIRO DE GESTAO HOSPITALAR - IBGH;;399-9 - Associação Privada;PORTUGAL;1148;SALA C2501 EDIF ORION BUSINESS;74150030;SET MARISTA;GOIANIA;GO;;6239989600;;ATIVA;23/09/2013;;;;0
23931208000200;FILIAL;23/07/2018;INSTITUTO RIOGRANDENSE DE DESENVOLVIMENTO SOCIAL INTEGRADO - IRDESI;IRDESI DE JAGUARI;399-9 - Associação Privada;SETE DE SETEMBRO;910;ANEXO HOSPITAL DE CARIDADE;97760000;CENTRO;JAGUARI;RS;;5533337358;;ATIVA;23/07/2018;;;;0
92911684000100;MATRIZ;17/09/1991;FUNDACAO MEDICO HOSPITALAR DR HONOR TEIXEIRA DA COSTA;;127-9 - Fundação Pública de Direito Privado Municipal;9 DE MAIO;141;;97390000;CENTRO;LAVRAS DO SUL;RS;;;LAVRAS DO SUL - RS;ATIVA;03/11/2005;;;;0
92898550000864;FILIAL;25/07/2018;FUNDACAO UNIVERSITARIA DE CARDIOLOGIA EM RECUPERACAO JUDICIAL;HOSPITAL REGIONAL DE SANTA MARIA;306-9 - Fundação Privada;FLORIANOPOLIS;1401; HOSP REG STA MARIA;97030220;PINHEIRO MACHADO;SANTA MARIA;RS;;5132303872;;ATIVA;25/07/2018;;;;0
89891337000735;FILIAL;11/04/2023;HOSPITAL DE CARIDADE SAO ROQUE;HOSPITAL GETUINAR D'AVILA DO NASCIMENTO;399-9 - Associação Privada;DORVAL LAMPERT;980;;97400000;CENTRO;SAO PEDRO DO SUL;RS;;5532631301;;ATIVA;11/04/2023;;;;0
13183513000208;FILIAL;05/09/2011;FUNDACAO DE SAUDE SAPUCAIA DO SUL;HOSPITAL TRAMANDAI;127-9 - Fundação Pública de Direito Privado Municipal;EMANCIPACAO;1255;;95590973;CENTRO;TRAMANDAI;RS;;5134518200;SAPUCAIA DO SUL - RS;BAIXADA;08/11/2024;;;;0
47969134001070;FILIAL;12/04/2022;FUNDACAO SANTA CASA DE MISERICORDIA DE FRANCA;AMBULATORIO MEDICO DE ESPECIALIDADES VALE DO JURUMIRIM;306-9 - Fundação Privada;JULIO BELLUCCI;390;;18704300;JARDIM BRABANCIA;AVARE;SP;;1637114196;;ATIVA;12/04/2022;;;;0
46230439001345;FILIAL;14/12/2012;FUNDACAO PARA O DESENVOLVIMENTO MEDICO E HOSPITALAR;HOSPITAL DE BASE DE BAURU;306-9 - Fundação Privada;MONSENHOR CLARO;8-88;;17015900;CENTRO;BAURU;SP;;1438152680;;ATIVA;14/12/2012;;;;0
57722118000817;FILIAL;23/09/2022;FUND DE APOIO AO ENSINO PESQ E ASSISTENCIA HCFMRPUSP;HOSPITAL DAS CLINICAS DE BAURU - HCB;306-9 - Fundação Privada;SILVIO MARCHIONE;3-20;;17012900;VILA NOVA CIDADE UNIVERSITARIA;BAURU;SP;;1635058152;;ATIVA;23/09/2022;;;;0
46068425000133;MATRIZ;12/01/1968;UNIVERSIDADE ESTADUAL DE CAMPINAS;;111-2 - Autarquia Estadual ou do Distrito Federal;DA REITORIA;S/N;;13083872;CIDADE UNIVERSITARIA;CAMPINAS;SP;;1935214424;SAO PAULO;ATIVA;03/11/2005;;;;0
60003761000129;MATRIZ;18/06/1970;FUNDACAO FACULDADE REGIONAL DE MEDICINA S J RIO PRETO;HOSPITAL DE BASE;306-9 - Fundação Privada;BRIGADEIRO FARIA LIMA;5544;;15090000;SAO PEDRO;SAO JOSE DO RIO PRETO;SP;;1732015033;;ATIVA;04/10/2003;;;;0
61687356004631;FILIAL;13/06/2022;SERVICO SOCIAL DA CONSTRUCAO CIVIL DO ESTADO DE SAO PAULO - SECONCI-SP;HOSPITAL DA MULHER;399-9 - Associação Privada;RIO BRANCO;1080;;01206001;CAMPOS ELISEOS;SAO PAULO;SP;;1133673901;;ATIVA;13/06/2022;;;;0
28700530000161;MATRIZ;13/09/2017;INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSINO, ASSISTENCIA SOCIAL E SAUDE DO CIDADAO;INSTITUTO MARIA SCHMITT - IMAS;399-9 - Associação Privada;DR ANTONIO BOTTINI;46;;88960000;CENTRO;SOMBRIO;SC;;4835220257;;ATIVA;13/09/2017;;;;0
13046636000116;MATRIZ;09/07/1971;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARACAJU;APAE;399-9 - Associação Privada;MANOEL DOS SANTOS CARVALHO;379;;49066020;INDUSTRIAL;ARACAJU;SE;;7999999999;;ATIVA;28/08/2004;;;;0
23546358000110;MATRIZ;26/10/2015;CENTRO MEDICO DO TRABALHADOR LTDA;CENTRO MEDICO DO TRABALHADOR;206-2 - Sociedade Empresária Limitada;BAHIA;1429;SALA 01;49075000;SIQUEIRA CAMPOS;ARACAJU;SE;;7930231172;;ATIVA;26/10/2015;;;;500000
13025507000141;MATRIZ;27/07/1967;ASSOCIACAO ARACAJUANA DE BENEFICENCIA;HOSPITAL E MATERNIDADE SANTA ISABEL;399-9 - Associação Privada;SIMEAO SOBRAL;1312;;49072720;DEZOITO DO FORTE;ARACAJU;SE;;7932124900;;ATIVA;03/11/2005;;;;0
13366414000180;MATRIZ;10/05/1985;ASSOCIACAO HOSPITALAR DE SERGIPE;HOSPITAL NOSSA SENHORA DA CONCEICAO;399-9 - Associação Privada;HIPOLITO SANTOS;SN;;49400000;CENTRO;LAGARTO;SE;;;;ATIVA;15/12/2017;;;;0
10733807000197;MATRIZ;10/02/2009;INSTITUTO MORGAN DE EDUCACAO, SAUDE E ESPORTES;INSTITUTO MORGAN;399-9 - Associação Privada;DAS FIGUEIRAS;49;;06840330;VALE DO SOL;EMBU DAS ARTES;SP;;1187257878;;ATIVA;10/02/2009;;;;0
51501559000136;MATRIZ;17/12/1986;FUNDACAO EDUCACIONAL DO MUNICIPIO DE ASSIS;FEMA;127-9 - Fundação Pública de Direito Privado Municipal;GETULIO VARGAS;1200;;19807130;VILA NOVA SANTANA;ASSIS;SP;;1833021055;ASSIS - SP;ATIVA;11/12/2004;;;;0
44510485000139;MATRIZ;04/09/1972;IRMANDADE DE MISERICORDIADE ATIBAIA;;399-9 - Associação Privada;MIGUEL VAIRO;104;;12940622;CENTRO;ATIBAIA;SP;;1144110062;;ATIVA;03/11/2005;;INTERVENCAO;26/10/2001;0
17795008000194;MATRIZ;15/03/2013;SOLUTION GESTAO PUBLICA;;399-9 - Associação Privada;LIMA VERDE GUIMARAES;501;;16670031;CENTRO;PRESIDENTE ALVES;SP;;1791157239;;ATIVA;15/03/2013;;;;0
49150352000112;MATRIZ;28/11/1967;FUNDACAO PIO XII;FUNDACAO PIO XII;306-9 - Fundação Privada;20;221;;14780070;CENTRO;BARRETOS;SP;;;;ATIVA;03/11/2005;;;;0
18580646000150;MATRIZ;24/07/2013;ASSOCIACAO LABOR SUS;;399-9 - Associação Privada;SAO JOAO;416;SALA 01;14780760;JARDIM ALLAH;BARRETOS;SP;;1791684881;;ATIVA;24/07/2013;;;;0
47641907000101;MATRIZ;31/03/1977;SORRI-BAURU;SORRI;399-9 - Associação Privada;NACOES UNIDAS;53-40;;17033260;NUCLEO PRES.GEISEL;BAURU;SP;;1440091000;;ATIVA;11/09/2004;;;;0
20845437000133;MATRIZ;24/07/2014;FUNDACAO ESTATAL REGIONAL DE SAUDE - REGIAO DE BAURU;;127-9 - Fundação Pública de Direito Privado Municipal;CUSSY JUNIOR;9-59;;17015021;CENTRO;BAURU;SP;;1432278057;BAURU - SP;ATIVA;24/07/2014;;;;0
51807535000100;MATRIZ;05/01/1984;ASSOC DE PROT E ASSIST A MAT E A INF DE BORBOREMA E S P;;399-9 - Associação Privada;PEDRO JOSE DOS PASSOS;400;;14955000;CENTRO;BORBOREMA;SP;;;;ATIVA;03/11/2005;;;;0
51804771000172;MATRIZ;03/07/1981;ASSOCIACAO BENEFICENTE DE PIRANGI;ORGANIZACAO SOCIAL DE SAUDE PIRANGI - O.S.S. PIRANGI;399-9 - Associação Privada;CARMEM LUCIA GIGLIO GIRADE;1901;;15820000;JARDIM TANGARA;PIRANGI;SP;;1733861800;;ATIVA;03/11/2005;;;;0
47708771000100;MATRIZ;03/06/1976;IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO BERNARDO DO CAMPO;SANTA CASA SBCAMPO;399-9 - Associação Privada;ROBERT KENNEDY;2900;;09860214;ASSUNCAO;SAO BERNARDO DO CAMPO;SP;;1143533300;;ATIVA;24/09/2005;;;;0
12043445000138;MATRIZ;24/05/2010;INSTITUTO DE GESTAO ADMINISTRACAO E TREINAMENTO EM SAUDE IGATS;IGATS EXCELENCIA EM SAUDE;399-9 - Associação Privada;VEREADOR BENEDITO DE CAMPOS;156;ANDAR 2 ANDAR SALA 5;18150000;CENTRO;IBIUNA;SP;;1532483126;;ATIVA;24/05/2010;;;;0
24006302000135;MATRIZ;18/01/2016;INSTITUTO DE DESENVOLVIMENTO, ENSINO E ASSISTENCIA A SAUDE - IDEAS;INSTITUTO IDEAS;399-9 - Associação Privada;SOUZA DUTRA;145;SALA 904;88070605;ESTREITO;FLORIANOPOLIS;SC;;4830276200;;ATIVA;18/01/2016;;;;0
86897113000157;MATRIZ;16/03/1994;FUNDACAO DE APOIO AO HEMOSC/CEPON;FAHECE;306-9 - Fundação Privada;PRESIDENTE COUTINHO;160;;88015230;CENTRO;FLORIANOPOLIS;SC;;4832121300;;ATIVA;02/04/2004;;;;0
76562198000169;MATRIZ;25/09/1966;HOSPITAL NOSSA SENHORA DAS GRACAS;;399-9 - Associação Privada;ALCIDES MUNHOZ;433;;80810040;MERCES;CURITIBA;PR;;;;ATIVA;03/11/2005;;;;0
57722118000493;FILIAL;02/02/2011;FUND DE APOIO AO ENSINO PESQ E ASSISTENCIA HCFMRPUSP;HOSPITAL ESTADUAL AMERICO BRASILIENSE - HEAB;306-9 - Fundação Privada;ALDO LUPO;1260;;14820000;JARDIM VISTA ALEGRE;AMERICO BRASILIENSE;SP;;1636022287;;ATIVA;02/02/2011;;;;0
49150352000970;FILIAL;17/02/2010;FUNDACAO PIO XII;AMBULATORIO MEDICO DE ESPECIALIDADES CIRURGICO DE BARRE;306-9 - Fundação Privada;PEDRO BORELLA;200;;14785004;AEROPORTO;BARRETOS;SP;;1733216600;;ATIVA;17/02/2010;;;;0
49150352001003;FILIAL;21/09/2010;FUNDACAO PIO XII;AMBULATORIO MEDICO DE ESPECIALIDADES GERAL DE BARRETOS;306-9 - Fundação Privada;LOJA MACONICA RENOVADORA 68;105;;14785000;NOVA AMERICA;BARRETOS;SP;;1733216600;;ATIVA;21/09/2010;;;;0
