codigo_equipamento;equipamento
01;Gama Câmara
02;Mamógrafo com Comando Simples
03;Mamógrafo com Estereotaxia
04;Raio X Até 100 Ma
05;Raio X de 100 A 500 Ma
06;Raio X Mais de 500ma
07;Raio X Dentário
08;Raio X com Fluoroscopia
09;Raio X para Densitometria Óssea
10;Raio X para Hemodinâmica
11;Tomógrafo Computadorizado
12;Ressonância Magnética
13;Ultrassom Doppler Colorido
14;Ultrassom Ecografo
15;Ultrassom Convencional
16;Processadora de Filme Exclusiva Para Mamografia
17;Mamógrafo Computadorizado
18;PET/CT
19;Ar Condicionado
20;Camera Frigorifica
21;Controle Ambiental/Ar-condicionado Central
22;Grupo Gerador
23;Usina de Oxigênio
24;Camara para Conservação de Hemoderivados/Imuno/Termolabeis
25;Camara para Conservação de Imunobiologicos
26;Condensador
27;Freezer Científico
28;Grupo Gerador (101 A 300 KVA)
29;Grupo Gerador (8 A 100 KVA)
30;Grupo Gerador (Acima de 300 KVA)
31;Endoscópio das Vias Respiratórias
32;Endoscópio das Vias Urinarias
33;Endoscópio Digestivo
34;Equipamentos para Optometria
35;Laparoscópico/Vídeo
36;Microscópio Cirúrgico
37;Cadeira Oftalmológica
38;Coluna Oftalmológica
39;Refrator
40;Lensometro
41;Eletrocardiógrafo
42;Eletroencefalógrafo
43;Grupo Gerador de 1.500 (mínimo)
44;Projetor ou Tabela de Optotipos
45;Retinoscópio
46;Oftalmoscópio
47;Ceratometro
48;Tonômetro de Aplanação
49;Biomicroscopio (Lâmpada de Fenda)
50;Campimetro
51;Bomba/Balão Intra-aórtico
52;Bomba de Infusão
53;Berço Aquecido
54;Bilirrubinometro
55;Debitómetro
56;Desfibrilador
57;Equipamento de Fototerapia
58;Incubadora
59;Marca-passo Temporário
60;Monitor de ECG
61;Monitor de Pressão Invasivo
62;Monitor de Pressão Não Invasivo
63;Reanimador Pulmonar/Ambu
64;Respirador/Ventilador
65;Grupo Gerador Portátil (até 7 KVA)
66;Refrigerador
67;Caminhão Baú Refrigerado
68;Embarcação para Transporte com Motor Popa (até 12 pessoas)
69;Empilhadeira
70;Veículo Utilitário (Tipo Furgão)
71;Aparelho de Diatermia por Ultrassom/Ondas Curtas
72;Aparelho de Eletroestimulação
73;Bomba de Infusão de Hemoderivados
74;Equipamentos de Aférese
76;Equipamento de Circulação Extracorpórea
77;Equipamento Para Hemodiálise
78;Forno de Bier
79;Veículo Pick-up Cabine Dupla 4x4 (Diesel)
80;Equipo Odontológico Completo
81;Compressor Odontológico
82;Fotopolimerizador
83;Caneta de Alta Rotação
84;Caneta de Baixa Rotação
85;Amalgamador
86;Aparelho de Profilaxia C/Jato de Bicarbonato
87;Emissões Otoacústicas Evocadas Transientes
88;Emissões Otoacústicas Evocadas por Produto de Distorção
89;Potencial Evocado Auditivo de Tronco Encefálico Automático
90;Pot Evocado Aud Tronco Encef de Curta, Media e Longa Latência
91;Audiômetro de Um Canal
92;Audiômetro de Dois Canais
93;Imitanciometro
94;Imitanciometro Multifrequencial
95;Cabine Acústica
96;Sistema de Campo Livre
97;Sistema Completo de Reforço Visual (VRA)
98;Ganho de Inserção
99;Hi-Pro
