ano;mes;competencia;numero_indice;indice
1994;1;199401;141.31;50.32807303
1994;2;199402;198.22;35.87861972
1994;3;199403;282.96;25.13379983
1994;4;199404;403.73;17.61538652
1994;5;199405;581.49;12.23040809
1994;6;199406;857.29;8.295745897
1994;7;199407;915.93;7.764632668
1994;8;199408;932.97;7.622817454
1994;9;199409;947.24;7.507981082
1994;10;199410;972.06;7.316276773
1994;11;199411;999.37;7.116343296
1994;12;199412;1016.46;6.99669441
1995;1;199501;1033.74;6.879737652
1995;2;199502;1044.28;6.81029992
1995;3;199503;1060.47;6.706328326
1995;4;199504;1086.24;6.547227132
1995;5;199505;1115.24;6.376977153
1995;6;199506;1140.44;6.236066781
1995;7;199507;1167.35;6.092311646
1995;8;199508;1178.91;6.032572461
1995;9;199509;1190.58;5.973441516
1995;10;199510;1207.37;5.890373291
1995;11;199511;1225.12;5.805031344
1995;12;199512;1244.23;5.715872467
1996;1;199601;1260.90;5.640304544
1996;2;199602;1273.89;5.582789723
1996;3;199603;1278.35;5.563312082
1996;4;199604;1294.46;5.494074749
1996;5;199605;1310.25;5.427864911
1996;6;199606;1325.84;5.36404091
1996;7;199607;1340.56;5.305141135
1996;8;199608;1346.46;5.281894746
1996;9;199609;1348.48;5.273982558
1996;10;199610;1352.53;5.258190207
1996;11;199611;1356.86;5.241410315
1996;12;199612;1363.24;5.216880373
1997;1;199701;1379.33;5.156025027
1997;2;199702;1386.23;5.130360763
1997;3;199703;1393.30;5.104327855
1997;4;199704;1405.56;5.059805344
1997;5;199705;1411.32;5.039154834
1997;6;199706;1418.94;5.012093535
1997;7;199707;1422.06;5.001097
1997;8;199708;1421.78;5.002081897
1997;9;199709;1422.63;4.999093229
1997;10;199710;1425.90;4.987628866
1997;11;199711;1428.32;4.979178335
1997;12;199712;1434.46;4.957865678
1998;1;199801;1444.64;4.922928896
1998;2;199802;1451.29;4.900371394
1998;3;199803;1456.22;4.883781297
1998;4;199804;1459.71;4.872104733
1998;5;199805;1467.01;4.847860614
1998;6;199806;1467.30;4.846902474
1998;7;199807;1465.54;4.852723228
1998;8;199808;1458.07;4.877584752
1998;9;199809;1454.86;4.888346645
1998;10;199810;1455.15;4.887372436
1998;11;199811;1453.40;4.89325719
1998;12;199812;1458.20;4.877149911
1999;1;199901;1468.41;4.843238605
1999;2;199902;1483.83;4.792907543
1999;3;199903;1500.15;4.740765923
1999;4;199904;1508.55;4.714368102
1999;5;199905;1513.08;4.700253787
1999;6;199906;1515.95;4.691355256
1999;7;199907;1532.47;4.640782528
1999;8;199908;1541.05;4.614944356
1999;9;199909;1545.83;4.600674072
